Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-06-16,5421,,1651,3099,4909,2337,3280,5537,
2012-06-17,4638,,1552,2082,4108,2020,3453,5128,
2012-06-18,5921,,2703,3582,6824,3960,2455,5496,
2012-06-19,5382,,2360,3447,6679,3438,1711,5015,
2012-06-20,5713,,2402,3524,6848,3510,2363,4852,
2012-06-21,5183,,2195,3297,6684,3272,2265,4957,
2012-06-22,5398,,1934,3612,6659,3252,2009,5263,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-06-24,3341,,1152,1423,2989,1510,3634,4581,
2012-06-25,2245,,1077,1374,3031,1440,1349,3283,
2012-06-26,3327,,1435,2139,4318,2193,620,3223,
2012-06-27,3141,,1322,2142,4211,2134,536,2897,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-06-29,5770,,1935,4004,6656,3090,2109,5332,
2012-06-30,4738,,1359,3007,4226,1822,2870,4527,
2012-07-01,4758,,1343,2911,3935,1777,3732,4522,
2012-07-02,4144,,1397,2658,3998,1883,2783,4464,
2012-07-03,6712,,2634,4398,7416,3896,2606,5462,
2012-07-04,5153,,2038,3591,5814,3070,1246,4493,
2012-07-05,6672,,2603,4830,7764,3816,2746,5153,
2012-07-06,5958,,2095,4137,6942,3387,2248,5610,
2012-07-07,5420,,1289,3802,4978,2132,3156,4939,
2012-07-08,4756,,1497,2407,4495,2089,4386,5535,
2012-07-09,5661,,2330,3524,6769,3577,2599,4987,
2012-07-10,6500,,2625,4064,7436,3749,2822,5952,
2012-07-11,6424,,2548,3921,7374,3781,2779,5474,
2012-07-12,6179,,2371,3772,7200,3687,2433,5140,
2012-07-13,5518,,2005,3525,6492,3088,2219,5185,
2012-07-14,4206,,1244,2441,4284,1562,2900,4252,
2012-07-15,3035,,1060,1798,3437,1449,2034,3545,
2012-07-16,4827,,2092,3141,6049,2965,1703,4379,
2012-07-17,2756,,1046,2001,3802,1700,569,2641,
2012-07-18,6180,,2589,3750,7311,3654,2813,5884,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-07-20,5813,,2088,3744,6959,3316,2538,5775,
2012-07-21,5092,,1419,2957,4658,1821,3835,4848,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-07-23,3877,,1660,2420,4937,2534,1461,3475,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
2012-07-25,6104,,2593,3786,7073,3622,3132,5059,
2012-07-26,5560,,2043,4174,6476,3208,1595,4383,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-07-28,4105,,1345,2504,4540,1767,2468,4631,
2012-07-29,4230,,1332,1791,4235,1905,3731,4906,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-08-01,4638,,1842,2783,5846,2810,1481,3889,
2012-08-02,5715,,2361,3340,6956,3329,2643,4828,
2012-08-03,5577,,1915,3306,6427,2789,3195,5031,
2012-08-04,4223,,1305,2019,4425,1769,2939,4467,
2012-08-05,1864,,630,1100,2327,970,1066,2268,
2012-08-06,5240,,2277,3193,6375,3187,2274,4604,
2012-08-07,5997,,2410,3622,6840,3480,2780,4903,
2012-08-08,5498,,2313,3365,6862,3403,2226,4771,
2012-08-09,4127,,1802,2601,5377,2656,1471,3636,
2012-08-10,2414,,934,1727,3323,1641,440,2456,
2012-08-11,2453,,815,1589,2628,1043,1340,2608,
2012-08-12,3995,,1338,1937,3427,1719,2988,4178,
2012-08-13,4931,,2298,3124,5936,3151,2090,4842,
2012-08-14,5333,,2322,3571,6332,3260,1456,4362,
2012-08-15,4297,,1882,2936,4948,2686,970,3877,
2012-08-16,6062,,2538,3898,6549,3366,1549,4943,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-08-18,4427,,1333,2505,3866,1864,1229,4359,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-08-21,5792,,2508,4063,6687,3369,2353,5640,
2012-08-22,6529,,2671,4513,7065,3774,2391,5154,
2012-08-23,5437,,2482,3807,6773,3573,1864,5010,
2012-08-24,5690,,2394,3778,6703,3312,2178,5299,
2012-08-25,4242,,1305,2358,4126,1726,2558,4833,
2012-08-26,3964,,1318,2118,3558,1750,2932,4536,
2012-08-27,4314,,2273,3098,5196,2762,1010,3598,
2012-08-28,5817,,2794,3966,6313,3420,1629,4720,
2012-08-29,6327,,3092,4370,7009,3759,2152,5342,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-08-31,4106,,1868,2999,5054,2541,875,4188,
2012-09-01,3934,,1225,2371,3917,1887,2801,3845,
2012-09-02,3698,,1232,2093,3827,1788,2959,4247,
2012-09-03,4179,,1532,2233,3718,1620,3783,4709,
2012-09-04,4225,,1934,3057,5275,3006,894,3868,
2012-09-05,5655,,2722,3861,7110,4061,1383,4491,
2012-09-06,5883,,2883,3967,7511,4014,1498,4732,
2012-09-07,6186,,2720,4153,7323,3886,2051,6104,
2012-09-08,2155,,1192,1467,2739,898,801,2626,
2012-09-09,3312,,1810,1828,3458,2668,2118,4355,
2012-09-10,5077,,2792,3718,6644,3849,1271,4984,
2012-09-11,6015,,2913,4081,7148,4314,1484,5451,
2012-09-12,6349,,3124,4209,7292,4510,1981,5697,
2012-09-13,6520,,3076,4369,7514,4494,1986,5742,
2012-09-14,5216,,2257,3480,6104,3574,1524,4918,
2012-09-15,3341,,1100,1900,3099,1593,1268,3426,
2012-09-16,3635,,1231,1614,3040,1852,2348,3696,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-09-18,2530,,1277,1695,3254,2275,388,2377,
2012-09-19,4653,,2351,3176,5746,3738,840,4189,
2012-09-20,5260,,2496,3615,6348,3991,1391,5119,
2012-09-21,4022,,1821,2911,4745,2945,889,3886,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-09-23,2314,,1093,1496,2572,1470,984,3321,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-09-25,5038,,2236,3273,5861,3712,1007,4420,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-09-27,5119,,2288,3465,5983,3704,1152,4598,
2012-09-28,4652,,2134,3209,5372,3309,1133,4361,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-09-30,876,,359,513,957,520,133,1162,
2012-10-01,3255,,1576,2184,3830,2582,397,2987,
2012-10-02,5139,,2525,3281,5845,3732,1229,4497,
2012-10-03,4685,,2377,3191,5475,3415,858,3941,
2012-10-04,4034,,2025,2705,4850,3066,555,3418,
2012-10-05,4151,,1977,2799,4688,2844,1035,4088,
2012-10-06,1304,,469,933,1589,776,236,1775,
2012-10-07,1580,,660,922,1629,860,695,2052,
2012-10-08,1854,,880,987,1818,1040,1115,2502,
2012-10-09,4787,,2210,3026,5138,3418,927,4078,
2012-10-10,3115,,1537,2081,3681,2608,560,2703,
2012-10-11,3746,,1857,2569,4694,3034,558,3457,
2012-10-12,3169,,1460,2261,4045,2564,448,3224,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-10-14,587,,287,443,852,503,65,952,
2012-10-15,3292,,1678,2165,4197,2754,560,3183,
2012-10-16,3739,,1858,2684,4681,2997,554,3593,
2012-10-17,4098,,1964,2645,4836,3063,728,3834,
2012-10-18,4671,,2292,3129,5542,3477,1108,4245,
2012-10-19,1313,,597,885,1668,1209,111,1486,
2012-10-20,2011,,748,1323,2266,1213,797,2243,
2012-10-21,1277,,609,869,1777,898,242,1648,
2012-10-22,3650,,1819,2495,4800,3023,757,3721,
2012-10-23,4177,,1997,2795,5216,3233,795,3554,
2012-10-24,3744,,1868,2625,4900,3035,649,3622,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-10-26,4290,,1987,2754,5246,3000,1456,4578,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-10-28,1310,,697,910,1776,955,387,1876,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-10-30,2887,,1251,2007,3516,2255,338,2790,
2012-10-31,2634,,1294,1835,3453,2220,245,2570,
2012-11-01,2405,,1208,1701,3082,2076,165,2461,
2012-11-02,1582,,737,1109,2277,1392,97,1888,
2012-11-03,844,,380,612,1137,713,105,1302,
2012-11-04,966,,446,710,1277,692,197,1374,
2012-11-05,2247,,1170,1705,3221,2143,179,2430,
